date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:59	191/191	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Apr%202023%2022:09:00%20GMT	https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressEmpty.Light.png	C:/My%20Web%20Sites/tes/rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressEmpty.Light.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:08:59	14/14	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2027%20Apr%202023%2022:09:00%20GMT	https://raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressEmpty.Light.png	C:/My%20Web%20Sites/tes/raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressEmpty.Light.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:09:00	191/191	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Apr%202023%2022:09:01%20GMT	https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressFull.Light.png	C:/My%20Web%20Sites/tes/rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressFull.Light.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:09:00	14/14	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2027%20Apr%202023%2022:09:01%20GMT	https://raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressFull.Light.png	C:/My%20Web%20Sites/tes/raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressFull.Light.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:09:00	191/191	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Apr%202023%2022:09:01%20GMT	https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressLogo.Dark.png	C:/My%20Web%20Sites/tes/rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressLogo.Dark.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:09:00	1476/1476	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Apr%202023%2022:09:01%20GMT	https://raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressLogo.Dark.png	C:/My%20Web%20Sites/tes/raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressLogo.Dark.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:09:00	191/191	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Apr%202023%2022:09:01%20GMT	https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressEmpty.Dark.png	C:/My%20Web%20Sites/tes/rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressEmpty.Dark.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:09:01	114/114	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Apr%202023%2022:09:01%20GMT	https://raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressEmpty.Dark.png	C:/My%20Web%20Sites/tes/raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressEmpty.Dark.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:09:01	191/191	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Apr%202023%2022:09:02%20GMT	https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressFull.Dark.png	C:/My%20Web%20Sites/tes/rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressFull.Dark.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:09:01	93/93	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Apr%202023%2022:09:02%20GMT	https://raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressFull.Dark.png	C:/My%20Web%20Sites/tes/raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/progressFull.Dark.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:09:01	191/191	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Apr%202023%2022:09:02%20GMT	https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/webgl-logo.png	C:/My%20Web%20Sites/tes/rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/webgl-logo.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:09:02	14/14	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2027%20Apr%202023%2022:09:02%20GMT	https://raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/webgl-logo.png	C:/My%20Web%20Sites/tes/raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/webgl-logo.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:09:02	191/191	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Apr%202023%2022:09:03%20GMT	https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/fullscreen.png	C:/My%20Web%20Sites/tes/rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/fullscreen.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
17:09:02	14/14	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2027%20Apr%202023%2022:09:03%20GMT	https://raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/fullscreen.png	C:/My%20Web%20Sites/tes/raw.githubusercontent.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/fullscreen.png	(from https://rawcdn.githack.com/lioxryt/lioxryt-assets/a4041fc9b45936f148d3d7134977d5df4329e237/other/slope/TemplateData/style.css)
